chant_type,mode,incipit,page
offertorium,6,Confitebor Domino,240
offertorium,1,Confitebor tibi Domine,123
offertorium,7,Confitebuntur celi,441
offertorium,4,Confortamini,26
offertorium,3,Constitueseos,434
offertorium,1,Custodi me,154
offertorium,2,Deprofundis,368
offertorium,6,Desiderium animz eius,1518
offertorium,2,"Deus, Deus meus",224
offertorium,8,Deusenim firmavit,46
offertorium,3,"Deus,tuconvertens",20
offertorium,8,Diffusa est gratia,421
offertorium,6,"Domine, ad adiuvandum me",94
offertorium,6,"Domine, convertere",283
offertorium,6,"Domine Deus, insimplicitate",401
offertorium,8,"Domine, Deus salutis mee",87
offertorium,4,"Domine, fac mecum",1004
offertorium,2,Domine Iesu Christe,674
offertorium,6,"Domine, in auxilium",330
offertorium,3,"Domine, vivifica me",359
offertorium,8,Elegerunt Apostoli,634
offertorium,8,Emitte Spiritum tuum,250
offertorium,7,Eripe me Deus,129
offertorium,3,Eripe me Domine,1550
offertorium,6,Erit vobis,213
offertorium,2,Exalabote,313
offertorium,5,Exspectans exspectavi,328
offertorium,3,Exsulta satis,28
offertorium,4,Exsultabuntsancti,466
offertorium,4,Factus est Dominus,119
offertorium,1,Felix namquees,422
offertorium,3,Filie regum,1505
offertorium,1,Gloriaet honore,434
offertorium,6,Gloriabuntur,467
offertorium,8,Gressus meos,365
offertorium,4,Illumina oculos meos,290
offertorium,8,Immittet angelus,325
offertorium,8,Improperium exspectavit,386
offertorium,8,Improperium et dederunt,148
offertorium,1,Indie sollemnitatis,210
offertorium,2,In omnem terram,435
offertorium,2,Intesperavi,322
offertorium,6,Invirtutetua,512
offertorium,5,Intendevoci,280
offertorium,4,Intonuit deczlo,204
offertorium,8,Inveni David,447
offertorium,5,Iubilate Deo omnis terra,259
offertorium,1,Iubilate Deo universa terra,227
offertorium,4,Iustitie Domini,309
offertorium,1,Iustorum anime,468
offertorium,4,Iustusut plma,497
offertorium,1,Latamini (cum alleluia),443
offertorium,4,Lztenturceli,44
offertorium,4,"Lauda,anima mea",221
offertorium,2,Laudate Dominum,010
offertorium,8,Levabooculos meos,78
offertorium,2,Meditabor (sine alleluia),356
offertorium,2,Meditabor (cum alleluia),245
offertorium,3,Mihi autem nimis,435
offertorium,8,Mirabilis Deus,469
offertorium,8,Miserere mihi,92
offertorium,8,Oraio ma,513
offertorium,4,Oravi Deum meum,334
offertorium,4,Perfice gressus meos,273
offertorium,5,Populum humilem,302
offertorium,8,Porasceli,207
offertorium,8,Posuisti,482
offertorium,8,Precatus est Moyses,317
offertorium,2,"Protege, Domine",1599
offertorium,1,Recordare mei,352
offertorium,1,"Recordare, Virgo Mater",422
offertorium,5,Reges Tharsis,58
offertorium,1,Repleti sumus,441
offertorium,5,Sanctificavit,338
offertorium,8,Scapuissus,76
offertorium,8,Siambulavero,341
